PEAK_NUM,FRACHRSTART,FRAC_HRS_SINCE_JAN1,CH4,WKT,LON,LAT,CH4_BASELINE,PEAK_DIST_M,PEAK_CH4
CFADS2280_20131126_7906.712971,7906.712971,7906.714194,2.3648909748,POINT(-105.03275983 39.652565455),-105.03275983,39.652565455,2.10644288946,0.0490386320824,0.0171263207041
CFADS2280_20131126_7906.712971,7906.712971,7906.714333,2.2825640293,POINT(-105.03275983 39.652565373),-105.03275983,39.652565373,2.10866387683,0.0581668638467,0.0187137215997
CFADS2280_20131126_7906.712971,7906.712971,7906.714464,2.2273112824,POINT(-105.03275987 39.652565333),-105.03275987,39.652565333,2.11050906672,0.0637865492152,0.0193701133022
CFADS2280_20131126_7906.712971,7906.712971,7906.714599,2.2157643263,POINT(-105.03275995 39.652565333),-105.03275995,39.652565333,2.11210027652,0.0706432142841,0.0200809029712
CFADS2280_20131126_7906.712971,7906.712971,7906.714736,2.2424000031,POINT(-105.03275997 39.652565299),-105.03275997,39.652565299,2.11363849434,0.0747981696748,0.0206159012962
CFADS2280_20131126_7906.712971,7906.712971,7906.714873,2.2692400037,POINT(-105.03275988 39.652565217),-105.03275988,39.652565217,2.11529992573,0.086749175424,0.022455640053
CFADS2280_20131126_7906.712971,7906.712971,7906.715011,2.2572726834,POINT(-105.03275983 39.652565167),-105.03275983,39.652565167,2.11708363982,0.0937737817694,0.023440412898
CFADS2280_20131126_7906.712971,7906.712971,7906.715146,2.2012124374,POINT(-105.03275983 39.652565167),-105.03275983,39.652565167,2.11881170776,0.0937737817694,0.023440412898
CFADS2280_20131126_7906.712971,7906.712971,7906.715286,2.122574644,POINT(-105.03275983 39.652565136),-105.03275983,39.652565136,2.12028210893,0.0972246985595,0.0234483242458
CFADS2280_20131126_7907.294292,7907.294292,7907.294292,2.124218465,POINT(-105.01399532 39.653028954),-105.01399532,39.653028954,2.08665367523,0.0,0.0
CFADS2280_20131126_7907.294292,7907.294292,7907.294425,2.1628522373,POINT(-105.01397331 39.652988345),-105.01397331,39.652988345,2.08775463928,4.89840231391,0.367858247922
